Taxa,Color,Text,
Aerococcus_christensenii,#616161,A. christensenii,
Fannyhessea_vaginae,#0000cd,F. vaginae,
Berryella_sp001552935,#ff00d9,B. sp001552935,
Bifidobacterium_breve,#c1ffc1,B. breve,
BVAB1,#6e0f00,Ca. L. vaginae,
BVAB2,#3bb16f,BVAB2,
Cutibacterium_acnes,#4c693a,C. acnes,
Dialister_sp001553355,#045c47,D. sp001553355,
Gardnerella,#221886,Gardnerella,#99b0af
Gardnerella_leopoldii,#2f268d,G. leopoldii,
Gardnerella_piotii,#3d3495,G. piotii,
Gardnerella_sp003585735,#4b439c,G. sp003585735,
Gardnerella_sp003585845,#5951a4,G. sp003585845,
Gardnerella_spNov1,#6760ab,G. spNov1,
Gardnerella_spNov2,#746eb3,G. spNov2,
Gardnerella_swidsinkii,#827dba,G. swidsinkii,
Gardnerella_vaginalis,#908bc2,G. vaginalis ,
Gardnerella_vaginalis_A,#9e99ca,G. vaginalis A,
Gardnerella_vaginalis_B,#aca8d1,G. vaginalis B,
Gardnerella_vaginalis_C,#b9b6d9,G. vaginalis C,
Gardnerella_vaginalis_D,#c7c5e0,G. vaginalis D,
Gardnerella_vaginalis_E,#d5d3e8,G. vaginalis E,
Gardnerella_vaginalis_F,#e3e2ef,G. vaginalis F,
Gardnerella_vaginalis_H,#f1f0f7,G. vaginalis H,
Lactobacillus_crispatus,#ff0000,L. crispatus,
Lactobacillus_gasseri,#86bf4d,L. gasseri,
Lactobacillus_iners,#ff8c00,L. iners,
Lactobacillus_jensenii,#fAE50d,L. jensenii,
Lactobacillus_mulieris,#a16060,L. mulieris,
Lactobacillus_paragasseri,#0d4018,L. paragasseri,
Limosilactobacillus_portuensis,#cf36b5,L. portuensis,
Megasphaera_lornae,#008B45,M. lornae,
Mobiluncus_mulieris,#f08080,M. mulieris,
Nanoperiomorbus_sp004136275,#613b1a,N. sp004136275,
Prevotella,#7d7d7d,Prevotella,
Prevotella_amnii,#ac8fc7,P. amnii,
Prevotella_bivia,#c997cc,P. bivia,
Prevotella_sp000758925,#6c6e45,P. sp000758925,
Prevotella_spNov3,#684a6b,P. spNov3,
Prevotella_timonensis,#f8fca9,P. timonensis,
Sneathia_vaginalis,#6963ff,S. vaginalis,
Streptococcus_agalactiae,#c43db0,S. agalactiae,
Streptococcus_anginosus,#ffbaf8,S. anginosus,
Streptococcus_mitis,#c771ba,S. mitis,
Trichomonas_vaginalis,#0077ff,T. vaginalis,
other,#8c8c8c,Other,
UBA629_sp005465875,#448a73,U. sp005465875,
